"CASEID","AGE","EDUC","RACE","SEX","RELIG","AGE_CATEGORICAL","EDUC_CATEGORICAL","NUMGIVEN","HAPPY","HEALTH","PARTYID","WTSSALL","AGE1","AGE2","AGE3","AGE4","AGE5","EDUC1","EDUC2","EDUC3","EDUC4","EDUC5","RACE1","RACE2","RACE3","RACE4","RACE5","SEX1","SEX2","SEX3","SEX4","SEX5","RELIG1","RELIG2","RELIG3","RELIG4","RELIG5","AGE_CATEGORICAL1","AGE_CATEGORICAL2","AGE_CATEGORICAL3","AGE_CATEGORICAL4","AGE_CATEGORICAL5","EDUC_CATEGORICAL1","EDUC_CATEGORICAL2","EDUC_CATEGORICAL3","EDUC_CATEGORICAL4","EDUC_CATEGORICAL5","TALKTO1","TALKTO2","TALKTO3","TALKTO4","TALKTO5","SPOUSE1","SPOUSE2","SPOUSE3","SPOUSE4","SPOUSE5","KIN1","KIN2","KIN3","KIN4","KIN5","CLOSE12","CLOSE13","CLOSE14","CLOSE15","CLOSE23","CLOSE24","CLOSE25","CLOSE34","CLOSE35","CLOSE45"
19850219,45,16,"white","female","catholic","40s","College",5,2,2,2,0.5181,14,12,NA,45,55,8,8,13,18,16,"white","white","white","white","white","female","male","female","female","male","protestant","catholic","protestant","protestant","catholic","20s","20s",NA,"40s","50s","No HS","No HS","Some College","Post Graduate","College",1,1,1,3,3,2,2,2,2,2,1,1,0,0,0,2,1,1,1,1,1,1,0,0,0
19850220,28,13,"white","male","protestant","20s","Some College",3,2,1,5,1.5544,60,28,33,NA,NA,12,16,12,NA,NA,"white","white","white",NA,NA,"male","male","female",NA,NA,"protestant","protestant","protestant",NA,NA,"60+","20s","30s",NA,NA,"HS","College","HS",NA,NA,2,1,2,NA,NA,2,2,2,NA,NA,1,0,0,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA
19850221,58,16,"white","male","protestant","50s","College",2,1,2,4,1.5544,52,40,NA,NA,NA,16,18,NA,NA,NA,"white","white",NA,NA,NA,"female","male",NA,NA,NA,"protestant","none",NA,NA,NA,"50s","40s",NA,NA,NA,"College","Post Graduate",NA,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850222,39,16,"white","male","protestant","30s","College",5,2,3,5,1.0363,60,60,41,70,37,18,12,12,12,18,"white","white","white","white","white","male","male","male","female","female","catholic","protestant","protestant","protestant","catholic","60+","60+","40s","60+","30s","Post Graduate","HS","HS","HS","Post Graduate",3,4,4,2,1,2,2,2,2,1,0,0,1,1,1,0,0,1,1,1,1,0,2,1,2
19850223,35,14,"white","female","none","30s","Some College",2,2,3,3,1.0363,35,33,NA,NA,NA,18,18,NA,NA,NA,"white","white",NA,NA,NA,"male","male",NA,NA,NA,"none","jewish",NA,NA,NA,"30s","30s",NA,NA,NA,"Post Graduate","Post Graduate",NA,NA,NA,1,1,NA,NA,NA,1,2,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850224,37,16,"white","male","jewish","30s","College",1,2,1,0,1.0363,34,NA,NA,NA,NA,16,NA,NA,NA,NA,"white",NA,NA,NA,NA,"female",NA,NA,NA,NA,"jewish",NA,NA,NA,NA,"30s",NA,NA,NA,NA,"College",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850225,34,16,"white","female","protestant","30s","College",4,2,2,6,1.0363,60,34,34,47,NA,12,18,16,16,NA,"white","white","white","white",NA,"female","male","female","female",NA,"protestant","catholic","jewish","protestant",NA,"60+","30s","30s","40s",NA,"HS","Post Graduate","College","College",NA,2,1,2,2,NA,2,1,2,2,NA,1,1,0,0,NA,2,0,0,NA,1,1,NA,1,NA,NA
19850226,78,0,"black","female","protestant","60+","No HS",1,1,2,0,3.1088,60,NA,NA,NA,NA,3.5,NA,NA,NA,NA,"black",NA,NA,NA,NA,"female",NA,NA,NA,NA,"protestant",NA,NA,NA,NA,"60+",NA,NA,NA,NA,"No HS",NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850227,63,20,"black","male","protestant","60+","Post Graduate",6,2,1,0,0.5181,47,43,50,50,52,16,18,18,18,16,"black","black","black","black","black","male","male","male","female","male","protestant","protestant","protestant","protestant","protestant","40s","40s","50s","50s","50s","College","Post Graduate","Post Graduate","Post Graduate","College",4,4,4,4,3,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
19850228,69,5,"black","male","protestant","60+","No HS",6,1,4,0,1.5544,65,77,74,78,70,18,8,8,8,11,"black","black","black","black","black","male","male","female","female","female","protestant","protestant",NA,"protestant","protestant","60+","60+","60+","60+","60+","Post Graduate","No HS","No HS","No HS","No HS",1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
19850229,38,9,"black","female","protestant","30s","No HS",2,2,2,0,0.5181,16,20,NA,NA,NA,11,13,NA,NA,NA,"black","black",NA,NA,NA,"female","female",NA,NA,NA,"protestant",NA,NA,NA,NA,"20s","20s",NA,NA,NA,"No HS","Some College",NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,1,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850230,23,10,"black","female","protestant","20s","No HS",5,1,2,0,0.5181,45,24,27,32,74,11,11,11,11,NA,"black","black","black","black","black","female","female","male","female","female","protestant","protestant","protestant","protestant","protestant","40s","20s","20s","30s","60+","No HS","No HS","No HS","No HS",NA,1,1,1,1,1,2,2,2,2,2,1,0,1,1,1,1,2,2,2,2,2,2,2,2,2
19850231,42,3,"hispanic","female","catholic","40s","No HS",1,3,2,2,1.0363,38,NA,NA,NA,NA,3.5,NA,NA,NA,NA,"hispanic",NA,NA,NA,NA,"female",NA,NA,NA,NA,"catholic",NA,NA,NA,NA,"30s",NA,NA,NA,NA,"No HS",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850232,22,15,"white","female","none","20s","Some College",5,2,2,5,1.0363,55,48,22,21,22,16,13,13,16,13,"white","white","white","white","white","male","female","female","female","female","none","none","protestant","catholic","catholic","50s","40s","20s","20s","20s","College","Some College","Some College","College","Some College",3,3,1,2,1,2,2,2,2,2,1,1,0,0,0,2,1,1,0,1,1,1,1,1,NA
19850233,25,12,"hispanic","male","catholic","20s","HS",0,2,NA,3,1.0363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850234,30,16,"white","male","none","30s","College",4,1,3,4,0.5181,30,30,34,30,NA,14,14,12,13,NA,"white","white","white","black",NA,"male","male","female","male",NA,"none","none","none","protestant",NA,"30s","30s","30s","30s",NA,"Some College","Some College","HS","Some College",NA,1,1,1,1,NA,2,2,2,2,NA,0,0,0,0,NA,2,1,1,NA,1,1,NA,1,NA,NA
19850235,20,13,"black","female","protestant","20s","Some College",2,2,2,1,1.0363,32,22,NA,NA,NA,12,11,NA,NA,NA,"black","black",NA,NA,NA,"female","male",NA,NA,NA,"protestant","protestant",NA,NA,NA,"30s","20s",NA,NA,NA,"HS","No HS",NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,1,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850236,25,15,"hispanic","male","protestant","20s","Some College",3,1,1,5,1.0363,20,20,32,NA,NA,12,12,16,NA,NA,"hispanic","hispanic","hispanic",NA,NA,"female","female","female",NA,NA,"catholic","protestant","catholic",NA,NA,"20s","20s","30s",NA,NA,"HS","HS","College",NA,NA,2,1,2,NA,NA,2,2,2,NA,NA,0,0,1,NA,NA,0,2,NA,NA,0,NA,NA,NA,NA,NA
19850237,23,13,"white","male","protestant","20s","Some College",2,1,1,4,0.5181,24,23,NA,NA,NA,14,12,NA,NA,NA,"white","white",NA,NA,NA,"male","male",NA,NA,NA,"none","catholic",NA,NA,NA,"20s","20s",NA,NA,NA,"Some College","HS",NA,NA,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850238,26,16,"black","female","protestant","20s","College",5,2,2,2,1.0363,45,23,25,24,28,11,13,16,16,12,"black","black","black","black","black","female","female","female","female","male","protestant","protestant","protestant","protestant","protestant","40s","20s","20s","20s","20s","No HS","Some College","College","College","HS",1,2,1,2,3,2,2,2,2,2,0,1,0,0,0,0,0,0,0,1,1,0,1,2,0
19850239,40,20,"white","male","protestant","40s","Post Graduate",4,2,2,5,0.5181,40,55,42,35,NA,16,18,18,18,NA,"white","white","white","white",NA,"male","male","male","female",NA,NA,NA,NA,"protestant",NA,"40s","50s","40s","30s",NA,"College","Post Graduate","Post Graduate","Post Graduate",NA,1,3,3,1,NA,2,2,2,1,NA,0,0,0,1,NA,0,0,1,NA,2,1,NA,1,NA,NA
19850240,79,18,"white","male","protestant","60+","Post Graduate",4,2,2,2,1.0363,79,49,46,22,NA,12,16,12,13,NA,"white","white","white","white",NA,"female","male","female","female",NA,"protestant","protestant","protestant","protestant",NA,"60+","40s","40s","20s",NA,"HS","College","HS","Some College",NA,1,2,2,2,NA,1,2,2,2,NA,1,1,1,1,NA,2,2,2,NA,2,2,NA,2,NA,NA
19850241,57,17,"white","male","protestant","50s","Post Graduate",5,2,1,2,1.0363,52,29,26,57,49,12,13,16,12,18,"white","white","white","white","white","female","male","male","male","male","protestant","protestant","protestant","protestant","protestant","50s","20s","20s","50s","40s","HS","Some College","College","HS","Post Graduate",1,2,2,2,2,1,2,2,2,2,1,1,1,0,0,2,2,2,2,2,1,1,1,1,1
19850242,62,11,"white","female","protestant","60+","No HS",3,2,3,6,1.0363,66,60,55,NA,NA,18,18,12,NA,NA,"white","white","white",NA,NA,"male","male","female",NA,NA,"protestant","protestant","protestant",NA,NA,"60+","60+","50s",NA,NA,"Post Graduate","Post Graduate","HS",NA,NA,1,2,3,NA,NA,1,2,2,NA,NA,1,0,0,NA,NA,0,1,NA,NA,0,NA,NA,NA,NA,NA
19850243,49,16,"white","female","protestant","40s","College",6,2,1,4,0.5181,41,55,43,48,40,18,18,16,16,18,"white","white","white","white","white","male","male","female","female","male","protestant","protestant","protestant","protestant","protestant","40s","50s","40s","40s","40s","Post Graduate","Post Graduate","College","College","Post Graduate",2,4,2,3,4,2,2,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
19850244,40,16,"white","female","protestant","40s","College",3,2,1,6,1.0363,42,36,61,NA,NA,16,12,12,NA,NA,"white","white","white",NA,NA,"male","female","female",NA,NA,"protestant","protestant","protestant",NA,NA,"40s","30s","60+",NA,NA,"College","HS","HS",NA,NA,1,1,2,NA,NA,1,2,2,NA,NA,1,0,1,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA
19850245,65,12,"white","female","protestant","60+","HS",2,2,2,6,1.0363,88,84,NA,NA,NA,16,16,NA,NA,NA,"white","white",NA,NA,NA,"male","female",NA,NA,NA,"protestant","protestant",NA,NA,NA,"60+","60+",NA,NA,NA,"College","College",NA,NA,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850246,50,15,"white","female","protestant","50s","Some College",4,1,1,5,1.0363,52,49,46,28,NA,16,18,18,16,NA,"white","white","white","white",NA,"male","male","female","male",NA,"protestant","protestant","protestant","protestant",NA,"50s","40s","40s","20s",NA,"College","Post Graduate","Post Graduate","College",NA,1,2,2,3,NA,1,2,2,2,NA,1,0,0,1,NA,2,2,2,NA,2,1,NA,1,NA,NA
19850247,70,16,"white","female","protestant","60+","College",3,2,4,0,0.5181,47,65,23,NA,NA,13,12,13,NA,NA,"white","white","white",NA,NA,"female","female","female",NA,NA,"protestant","protestant","protestant",NA,NA,"40s","60+","20s",NA,NA,"Some College","HS","Some College",NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,1,0,1,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA
19850248,62,11,"white","male","protestant","60+","No HS",4,2,2,2,1.0363,65,65,65,59,NA,13,12,13,13,NA,"white","white","white","white",NA,"male","male","male","male",NA,"protestant","protestant","protestant","protestant",NA,"60+","60+","60+","50s",NA,"Some College","HS","Some College","Some College",NA,2,2,2,2,NA,2,2,2,2,NA,0,0,1,0,NA,2,1,1,NA,1,1,NA,1,NA,NA
19850249,39,9,"white","male","protestant","30s","No HS",0,1,2,3,1.0363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850250,21,6,"white","female","protestant","20s","No HS",4,2,3,5,1.0363,18,36,28,36,NA,11,11,12,12,NA,"white","white","white","white",NA,"female","female","male","female",NA,"protestant","protestant","protestant","protestant",NA,"20s","30s","20s","30s",NA,"No HS","No HS","HS","HS",NA,1,1,1,2,NA,2,2,1,2,NA,0,0,1,1,NA,1,1,0,NA,1,1,NA,2,NA,NA
19850251,67,13,"white","female","protestant","60+","Some College",4,2,3,0,0.5181,41,74,64,90,NA,12,11,12,12,NA,"white","white","white","white",NA,"male","female","female","female",NA,"protestant","protestant","protestant","protestant",NA,"40s","60+","60+","60+",NA,"HS","No HS","HS","HS",NA,2,1,2,2,NA,2,2,2,2,NA,1,0,1,1,NA,1,1,2,NA,1,1,NA,1,NA,NA
19850252,23,12,"white","female","catholic","20s","HS",2,2,2,5,1.0363,45,22,NA,NA,NA,11,13,NA,NA,NA,"white","white",NA,NA,NA,"male","male",NA,NA,NA,"catholic","catholic",NA,NA,NA,"40s","20s",NA,NA,NA,"No HS","Some College",NA,NA,NA,2,1,NA,NA,NA,2,1,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850253,30,12,"white","female","protestant","30s","HS",3,1,2,6,1.0363,33,29,50,NA,NA,16,12,8,NA,NA,"white","white","white",NA,NA,"male","female","female",NA,NA,"protestant","protestant","protestant",NA,NA,"30s","20s","50s",NA,NA,"College","HS","No HS",NA,NA,2,2,2,NA,NA,2,2,2,NA,NA,0,1,1,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA
19850254,45,13,"white","male","protestant","40s","Some College",6,2,2,5,2.0725,51,43,38,48,37,18,13,12,13,18,"white","white","white","white","white","male","female","male","male","male","protestant","protestant","protestant","protestant","protestant","50s","40s","30s","40s","30s","Post Graduate","Some College","HS","Some College","Post Graduate",1,1,2,3,4,2,1,2,2,2,0,1,0,0,0,1,1,1,0,1,0,2,2,0,0
19850255,33,17,"white","female","protestant","30s","Post Graduate",6,2,2,5,1.0363,38,53,57,34,30,18,12,12,16,16,"white","white","white","white","white","male","female","male","female","female","protestant","protestant","protestant","protestant","protestant","30s","50s","50s","30s","30s","Post Graduate","HS","HS","College","College",1,2,2,2,2,1,2,2,2,2,1,1,1,0,0,1,1,1,0,2,1,0,0,0,0
19850256,28,14,"white","male","protestant","20s","Some College",5,2,2,6,1.5544,28,27,31,65,59,13,12,11,12,13,"white","white","black","white","white","male","male","male","male","female","catholic","protestant","protestant","protestant","protestant","20s","20s","30s","60+","50s","Some College","HS","No HS","HS","Some College",4,4,4,1,1,2,2,2,2,2,0,0,0,1,1,2,0,1,1,0,0,1,1,1,2
19850257,38,14,"white","male","protestant","30s","Some College",6,1,2,1,1.0363,40,34,41,42,35,13,12,13,16,16,"white","white","white","white","white","male","female","male","male","male","protestant","protestant","catholic","protestant","protestant","40s","30s","40s","40s","30s","Some College","HS","Some College","College","College",1,1,2,2,2,2,1,2,2,2,0,1,0,0,0,1,2,0,0,1,1,1,0,1,0
19850258,37,15,"white","male","none","30s","Some College",3,2,3,3,1.0363,27,14,12,NA,NA,16,8,8,NA,NA,"white","white","white",NA,NA,"female","male","male",NA,NA,"none","none","none",NA,NA,"20s","20s","20s",NA,NA,"College","No HS","No HS",NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,0,1,1,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA
19850259,28,14,"white","female","protestant","20s","Some College",4,2,2,5,1.0363,26,30,25,54,NA,13,16,12,18,NA,"white","white","white","white",NA,"male","female","female","female",NA,"none","none","none","protestant",NA,"20s","30s","20s","50s",NA,"Some College","College","HS","Post Graduate",NA,1,2,2,3,NA,2,2,2,2,NA,0,1,0,1,NA,1,1,1,NA,1,2,NA,1,NA,NA
19850260,28,14,"white","female","protestant","20s","Some College",5,1,1,6,1.0363,28,28,46,30,32,16,18,12,16,16,"white","white","white","white","white","male","female","female","male","male","protestant","protestant","protestant","protestant","protestant","20s","20s","40s","30s","30s","College","Post Graduate","HS","College","College",1,2,3,3,3,1,2,2,2,2,1,0,1,0,0,1,2,1,1,1,1,1,1,1,2
19850261,44,16,"white","male","protestant","40s","College",6,3,3,5,0.5181,48,35,36,15,18,12,18,18,8,11,"white","white","white","white","white","female","female","male","female","male","protestant","protestant",NA,"protestant","protestant","40s","30s","30s","20s","20s","HS","Post Graduate","Post Graduate","No HS","No HS",1,1,1,1,2,2,2,2,2,2,0,0,0,1,1,1,2,1,1,1,1,1,1,0,1
19850262,37,14,"white","female","jewish","30s","Some College",6,2,1,5,1.0363,37,52,42,43,40,16,18,18,16,16,"white","white","white","white","white","male","female","female","female","male","jewish","protestant","catholic","protestant","jewish","30s","50s","40s","40s","40s","College","Post Graduate","Post Graduate","College","College",1,1,3,3,3,1,2,2,2,2,1,0,1,1,1,1,1,2,2,0,1,1,1,1,2
19850263,30,12,"white","male","protestant","30s","HS",6,1,1,4,1.0363,28,27,31,34,36,12,12,12,12,12,"white","white","white","white","white","female","male","male","male","male","protestant","protestant",NA,"protestant",NA,"20s","20s","30s","30s","30s","HS","HS","HS","HS","HS",1,1,1,3,3,1,2,2,2,2,1,0,0,0,1,1,0,1,1,2,2,0,1,0,0
19850264,52,12,"white","female","protestant","50s","HS",1,1,1,6,1.0363,51,NA,NA,NA,NA,8,NA,NA,NA,NA,"white",NA,NA,NA,NA,"male",NA,NA,NA,NA,"protestant",NA,NA,NA,NA,"50s",NA,NA,NA,NA,"No HS",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850265,28,16,"white","male","catholic","20s","College",6,2,2,2,0.5181,27,26,27,24,26,16,16,12,16,18,"white","white","white","white","white","male","male","female","female","male","none","catholic","none","catholic","protestant","20s","20s","20s","20s","20s","College","College","HS","College","Post Graduate",1,1,2,1,3,2,2,2,2,2,0,1,0,1,0,1,0,1,0,0,2,1,0,0,1
19850266,34,12,"white","female","protestant","30s","HS",4,3,2,1,1.0363,32,50,45,28,NA,13,18,13,13,NA,"white","white","white","white",NA,"male","male","female","female",NA,"none",NA,"protestant","catholic",NA,"30s","50s","40s","20s",NA,"Some College","Post Graduate","Some College","Some College",NA,1,1,1,2,NA,1,2,2,2,NA,1,0,0,0,NA,0,0,1,NA,2,0,NA,0,NA,NA
19850267,37,20,"white","male","protestant","30s","Post Graduate",3,2,2,6,0.5181,36,30,36,NA,NA,18,18,18,NA,NA,"white","white","white",NA,NA,"male","male","male",NA,NA,"protestant","none","protestant",NA,NA,"30s","30s","30s",NA,NA,"Post Graduate","Post Graduate","Post Graduate",NA,NA,2,2,2,NA,NA,2,2,2,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
19850268,44,12,"white","female","protestant","40s","HS",4,1,2,1,1.5544,43,40,43,46,NA,16,12,12,12,NA,"white","white","white","white",NA,"male","female","female","female",NA,"protestant","protestant","protestant","protestant",NA,"40s","40s","40s","40s",NA,"College","HS","HS","HS",NA,1,2,3,2,NA,1,2,2,2,NA,1,1,0,0,NA,1,1,1,NA,1,1,NA,1,NA,NA
19850269,71,11,"white","female","protestant","60+","No HS",1,1,2,2,0.5181,69,NA,NA,NA,NA,12,NA,NA,NA,NA,"white",NA,NA,NA,NA,"female",NA,NA,NA,NA,"protestant",NA,NA,NA,NA,"60+",NA,NA,NA,NA,"HS",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850270,44,12,"white","female","none","40s","HS",3,1,2,5,1.0363,34,44,64,NA,NA,12,13,12,NA,NA,"white","white","white",NA,NA,"female","male","female",NA,NA,"protestant","protestant","protestant",NA,NA,"30s","40s","60+",NA,NA,"HS","Some College","HS",NA,NA,1,1,3,NA,NA,2,1,2,NA,NA,0,1,1,NA,NA,2,1,NA,NA,2,NA,NA,NA,NA,NA
19850271,71,11,"white","female","catholic","60+","No HS",5,1,4,6,1.0363,54,66,64,70,50,3.5,18,13,13,13,"black","white","white","white","white","female","female","female","male","male","protestant","protestant","protestant","catholic","catholic","50s","60+","60+","60+","50s","No HS","Post Graduate","Some College","Some College","Some College",2,3,4,1,2,2,2,2,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
19850272,38,16,"white","female","catholic","30s","College",2,2,1,0,1.0363,32,50,NA,NA,NA,16,16,NA,NA,NA,"white","black",NA,NA,NA,"female","female",NA,NA,NA,"protestant","protestant",NA,NA,NA,"30s","50s",NA,NA,NA,"College","College",NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850273,66,15,"white","female","catholic","60+","Some College",5,1,2,5,1.0363,67,36,38,32,34,NA,NA,NA,NA,NA,"white","white","white","white","white","male","male","female","female","female","protestant","catholic","catholic","catholic","catholic","60+","30s","30s","30s","30s",NA,NA,NA,NA,NA,1,3,1,1,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
19850274,54,15,"white","male","protestant","50s","Some College",3,2,3,1,0.5181,39,54,54,NA,NA,16,16,18,NA,NA,"white","white","white",NA,NA,"male","male","male",NA,NA,"protestant","catholic","protestant",NA,NA,"30s","50s","50s",NA,NA,"College","College","Post Graduate",NA,NA,1,2,3,NA,NA,2,2,2,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
19850275,20,13,"white","male","catholic","20s","Some College",3,2,1,2,1.0363,19,48,48,NA,NA,13,16,18,NA,NA,"white","white","white",NA,NA,"male","female","male",NA,NA,"catholic","catholic","catholic",NA,NA,"20s","40s","40s",NA,NA,"Some College","College","Post Graduate",NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,0,1,1,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA
19850276,32,18,"white","male","protestant","30s","Post Graduate",6,1,1,0,1.0363,31,42,58,31,68,18,13,12,18,8,"white","white","white","white","white","female","male","male","male","male","protestant","jewish","protestant","jewish","protestant","30s","40s","50s","30s","60+","Post Graduate","Some College","HS","Post Graduate","No HS",1,3,3,2,2,1,2,2,2,2,1,0,0,0,1,1,1,1,2,0,0,0,0,0,0
19850277,32,14,"white","male","catholic","30s","Some College",3,2,2,3,0.5181,33,42,64,NA,NA,12,13,12,NA,NA,"white","white","white",NA,NA,"male","male","female",NA,NA,"catholic","catholic","catholic",NA,NA,"30s","40s","60+",NA,NA,"HS","Some College","HS",NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,0,1,1,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
19850278,20,13,"white","female","none","20s","Some College",3,2,1,1,0.5181,19,51,51,NA,NA,13,18,16,NA,NA,"white","white","white",NA,NA,"female","male","female",NA,NA,"none","other","jewish",NA,NA,"20s","50s","50s",NA,NA,"Some College","Post Graduate","College",NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,0,1,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA
19850279,37,15,"white","female","catholic","30s","Some College",5,1,1,0,1.0363,31,29,33,33,35,16,18,16,16,16,"white","white","white","white","white","female","female","female","female","female","jewish","catholic","catholic","catholic","catholic","30s","20s","30s","30s","30s","College","Post Graduate","College","College","College",1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
19850280,23,17,"white","male","none","20s","Post Graduate",4,1,2,3,1.0363,22,21,23,23,NA,16,16,16,16,NA,"white","white","white","white",NA,"male","male","female","female",NA,"jewish",NA,"protestant","catholic",NA,"20s","20s","20s","20s",NA,"College","College","College","College",NA,2,1,1,2,NA,2,2,2,2,NA,0,0,0,0,NA,1,1,1,NA,1,0,NA,0,NA,NA
19850281,72,12,"white","female","protestant","60+","HS",3,2,2,4,0.5181,51,75,60,NA,NA,13,12,12,NA,NA,"white","white","white",NA,NA,"female","female","female",NA,NA,"protestant","protestant","protestant",NA,NA,"50s","60+","60+",NA,NA,"Some College","HS","HS",NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,1,0,0,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA
19850282,71,7,"white","male","catholic","60+","No HS",3,2,1,3,0.5181,48,72,45,NA,NA,16,8,12,NA,NA,"white","white","white",NA,NA,"male","male","male",NA,NA,"catholic","catholic","catholic",NA,NA,"40s","60+","40s",NA,NA,"College","No HS","HS",NA,NA,3,1,2,NA,NA,2,2,2,NA,NA,0,0,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
19850283,26,13,"white","female","catholic","20s","Some College",5,1,1,3,0.5181,60,56,31,46,27,18,18,18,18,18,"white","white","white","white","white","female","male","female","male","female","catholic","catholic","catholic","other","other","60+","50s","30s","40s","20s","Post Graduate","Post Graduate","Post Graduate","Post Graduate","Post Graduate",2,2,2,1,1,2,2,2,2,2,1,1,1,0,0,2,2,2,2,2,2,2,2,2,2
19850284,25,18,"white","male","catholic","20s","Post Graduate",5,1,1,5,1.0363,24,24,20,34,62,18,18,13,18,11,"white","white","white","white","white","female","male","male","male","female","catholic","catholic","catholic","catholic","catholic","20s","20s","20s","30s","60+","Post Graduate","Post Graduate","Some College","Post Graduate","No HS",1,4,2,2,3,1,2,2,2,2,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1
19850285,73,12,"white","female","protestant","60+","HS",1,1,2,6,1.0363,79,NA,NA,NA,NA,11,NA,NA,NA,NA,"white",NA,NA,NA,NA,"male",NA,NA,NA,NA,"protestant",NA,NA,NA,NA,"60+",NA,NA,NA,NA,"No HS",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850286,27,15,"white","male","catholic","20s","Some College",4,1,2,6,1.0363,26,55,28,33,NA,14,18,16,11,NA,"white","white","white","white",NA,"female","male","male","male",NA,"catholic","catholic","protestant","catholic",NA,"20s","50s","20s","30s",NA,"Some College","Post Graduate","College","No HS",NA,1,2,3,1,NA,1,2,2,2,NA,1,1,0,1,NA,2,1,0,NA,NA,0,NA,NA,NA,NA
