obs,text
32388,"In the research regarding family and fertility, little attention has been paid to the couple unit. The majority of fertility studies have focused upon the wife only. Where data are available for both husband and wife, it is often clustered under the headings ""males"" and ""females;"" again ignoring the specific husband_and_wife dyad. In addition, the attitudes of husbands_and_wives are often assumed to be essentially the same. This study investigates couple agreement on desired_family size. The following hypotheses are examined. (1) Agreement on desired_family_size is related to similarity of background; the more homogeneous the couple in their background characteristics, the more they are likely to agree on their family_size desires. (2) Agreement on desired_family_size will be greater among those who have discussed their family_size_desires and goals than among those who have not. (3) The longer the duration of the family of procreation, the greater will be the agreement concerning family_size preference between husbands and wives. The study_is_based on the secondary_analysis_of_data from the New Orleans Family_Survey of 1965. The data are from a subsample of 357 couples. Separate interviews_were_held with husband and wife; their responses_to_the_survey_questions were subsequently compared. The data concerning demographic_homogeneity are inconsistent. Sometimes those similar in characteristics agree more highly on family_size_preferences than those dissimilar in characteristics; sometimes they do not. The zero order relationships are weak, rarely manifesting chi squares large enough to reject chance. Multiple regression of the twenty-six explanatory_variables indicates homogeneity on these variables explains only fourteen_percent_of_the_variance in agreement on desired_family size. Discussion of family_size also yields inconclusive data. Couples who have discussed family_size_preferences indicated a slightly_higher_percent_agreement than did those who had not discussed preferences. The highest_percent_agreement was shown, however, among couples who disagreed concerning whether they had ever discussed family_size preferences. Length of marriage was found to have no relationship to agreement on desired_family size. In all, the data_show a high_percent of disagreement concerning family_size_preferences among the couples; slightly over sixty_percent of the couples disagree. This indicates that researchers should be cautious in interpreting information from one spouse as indicative of the opinions of the other. In addition, spouses who are homogeneous in characteristics should not be assumed_to_be_homogeneous in outlook."
30152,"This study_investigated the causal influences of well-being from an integrated_theoretical perspective. Variables such as appraisal, social support, levels of distress, coping_strategies and well-being were analyzed_using_structural_equation modeling. The results_yielded 8 findings that provide_support for a modification to Folkman's integrated_theoretical perspective on stress and coping. The instruments used are viable to identify_successful_coping_strategies and should be implemented with this population with focus on treatment efforts. One hundred seventy-five victims_of_violent or non-violent crime were interviewed. It was found that victims utilizing emotion-focused coping_strategies_reported_higher_levels of well-being than those victims who utilized problem-focused coping or avoidance oriented coping. It was also found that most of the individual_demographic_characteristics did not have a significant_relationship with levels_of_distress experienced. Implications_for_social_work_practice and theory, policy, education_and_future_research were delineated."
46566,"This study_explores trade in northern Japan, predominantly on the island of Hokkaido, between the Japanese and the native Ainu during the Tokugawa_period (1600-1868). It highlights_the_role that ecological change, epidemic diseases, and ""reinvented"" ritual traditions played in the breakdown of Ainu autonomy and Japan's conquest of Ainu lands. By focusing on the role of ecology and culture in the conquest of Ainu lands, this study promises to identify early_modern forms of Japanese colonialism, while introducing a broader East_Asian perspective to the study of eighteenth-century Japan, a period still referred to as the ""Closed Country"" by some historians. Moreover, rather than view Hokkaido as the ""frontier"" of the Tokugawa polity, ""open lands"" ripe for development, I approach the topic_from_the_perspective of Ainu and the local ecology, as well as the Japanese. I assert that the roots of the Japanese_colonization of Hokkaido lay in changes in Ainu productive systems, ritual traditions, and the local environment, all sparked by the normalization of trade with Matsumae domain. The theoretical_approach used in this study resembles recent studies of the American_West by historians such as Patricia Limerick and Richard White. I have also been influenced by recent environmental_historians such as William_Cronon and Alfred Crosby. The research was completed under a Fulbright Fellowship at the Research_Center for Northern Studies, Wokkaido University Library. I also benefited from archives at the Hokkaido Prefectural Library, and the Hakodate Municipal Library, all located in Japan. This study, aside from refuting conventional_assumptions about the present shape of the Japanese archipelago, complicates the notion of Japanese homogeneity and the relationship between culture and ecology. It also questions the basic_idea of a singular, ethnic-based ""Japanese"" cultural order and historical_narrative in the geographic_space today called Japan."
990,"Parent training is considered, among professionals, to be an important treatment component for children with Attention_Deficit_Hyperactivity_Disorder (ADHD). Historically, behavioral_coaching has been used for training_parents_of_children exhibiting behavioral_difficulties (e.g. opposition, noncompliance or behaviors associated with developmental delay) to ensure generalization_and_maintenance of new techniques. Behavioral coaching involves modeling, role-play, in vivo practice with the child and direct feedback from the therapist based on observations. These techniques have been proven_effective across many training_content_areas such as for parents, teachers, staff_in_sales or customer_service and other areas. To date, the majority of existing studies of training for parents_of_ADHD_children include limited training techniques, minimal or no behavioral coaching. The current_study was a component_analysis to evaluate whether behavioral_coaching_strategies enhanced parent-child more so than didactic_training alone with parents of school-aged children_diagnosed with ADHD. The entire treatment_package was first presented_didactically (Package A) then with behavioral_coaching (Package B). Four parent-child dyads_completed multiple assessments throughout the study including child rating scales, parent self-report scales and parent-child interaction observation sessions. A fifth parent-child pair withdrew during the initial_stages of treatment due to illness. Observational data were based on the Dyadic Parent-Child Interaction_Coding_System (DPICS-II). With observational data, all four dyads demonstrated_enhanced improvements in interactions following coaching, more so than with didactic techniques alone. The questionnaire_data indicate various improvements in child behaviors and parents' psychological_functioning as reported by parent participants."
51423,"Dual-earner couples raising_children face stress that can interfere with marital happiness. Some of these couples seek help from marriage_and_family therapists, but many therapists claim they are not well trained in the issues_facing these couples. In order_to_determine what might help therapists, researchers in the past have traveled two scholarly paths: (a) studying dual-income couples who still have children_at_home and are dealing with the stressors of this lifestyle with varying_degrees of success, and (b) asking long-term, happily_married_couples what helped them stay together successfully. This study combined both approaches. Dual-earner couples whose children were grown and who identified themselves as having great marriages reflected on strategies that helped them develop and maintain successful and satisfying marriages. Implications for marital_therapy are discussed."
15365,"The purpose_of_this_study_was_to_understand what is considered a good_quality mother-daughter relationship in Korea from the perspectives of mothers_and_their_young_adult daughters, and to explore how the indigenous_themes of interdependency, filial piety, and emphasis on educational_excellence as an expression of filial piety, are reflected in the perceptions of the mothers_and_their_young_adult daughters. The interview_data_collected by Melson et al. (2002) in Korea were used for analysis. Participants_included 29 daughters between the ages of 20 to 36 and their biological_mothers between the ages of 46 to 69. Both mothers and daughters were from the Seoul, Korea. Mothers were asked_to_describe their relationship with their daughters from the time of the daughters' birth. Daughters were asked_to_describe their relationship with their mothers from their earliest memories of their mothers. The results_revealed their different perceptions of their experiences and relationships as well as their commonalities. The filial_piety findings_revealed that the Korean_mothers had strong filial_piety_expectations and expected obedience from their daughters. The results also showed that the mothers' filial_piety_expectations of their daughters were strong but their interdependency expectations were very low. Mothers were also shown to be the source of the dynamic energy promoting young women's career aspirations. As they raised their daughters, they stressed the importance of women having their own career in today's society and passed on their values to their daughters. Most mothers and daughters in the study expressed great satisfaction with their relationship with each other. Conflict often occurred when the mother took an individualistic_approach to her parenting. In most cases, both mother and daughter were changing together, but when there was conflict it was often when one of the pair did not accept the change. In Korean_society there is a deep-rooted emphasis on conformity and not being different. Korean daughters seemed to use social_comparison_influences on judging the quality of parenting."
15406,"The purpose_of_this_study_was_to_investigate whether clergy respond to intimate_partner_violence using a ""marriage-first"" or ""safety-first"" approach. A ""marriage-first"" approach_focuses on keeping the marriage together, while a ""safety-first"" approach indicates a willingness to emphasize safety even if it ultimately ends the marriage. Clergy attitudes about women's roles, victim blaming attitudes, amount_of_training received, rating of training received, and their level_of_endorsement of fundamentalist_beliefs were expected_to_influence clergy response. Self-administered surveys were sent to 268 clergy in the Midwest, but N = 151 surveys were used in the analysis. Clergy are from various religious and socioeconomic backgrounds, including male and female. A feminist_perspective_guided the methodology. Results reveal that using a vignette with intimate_partner_violence clergy respond in either a ""marriage-first"" approach or ""safety-first"" approach. Lethality of the violence did not make_a_significant_difference in their response. Using multiple_regression_analyses the findings_show that 49% percent_of_the_variance in ""marriage-first"" was accounted for by race, victim blaming attitudes for spousal physical violence, fundamentalist beliefs, and traditional views of women's roles. Being African American, endorsing higher fundamentalist beliefs, having more traditional views of women's roles, and higher victim blaming attitudes for physical_violence_against_women had a significant_association with a ""marriage-first"" response. Further analysis of these variables_identified a negative_and_significant correlation between being African_American and having a M.Div. There were significant_positive relationships between African Americans and being married, having traditional views of women's roles, and having higher fundamentalist beliefs. A ""safety-first"" approach was significantly associated with less years as clergy, and having less traditional views of women's roles. They accounted for 26% of the variance for ""safety-first."" This study_identified_two_distinct_ways that clergy respond_to_victims_of_intimate_partner_violence (""marriage-first"" and ""safety-first""), training did not affect either, fundamentalist_beliefs affected a ""marriage-first"" response, while attitudes about women's roles (egalitarian vs. traditional) affected both responses. This study has application for practitioners_who_counsel victims_of_intimate_partner violence, and training_institutions in development of training for clergy."
25190,"The dissertation_investigates on the effects of electoral_politics on the distribution of government_outlays for three social_welfare_programs in Mexico in the period of democratic transition, using political_business cycles and distributive politics models. The first essay makes a critical_review of the two most widely used theoretical models to explain the political component on the distribution of policy benefits: the political_business_cycle and distributive politics. I jointly test the implications of these theories on a specific federal_poverty_alleviation program in Mexico (FONAES) using monthly_time_series and state panel_data on federal outlays for a decade in which electoral_pressures rose systematically. Using the same framework the second essay compares various poverty_alleviation programs. I explain how program allocation_rules have evolved in the poverty_alleviation strategy during two and a half_decades in Mexico and why these changes that appear to limit political manipulation might not necessarily have the desire effect. With administrative data from a set of government_agencies on different programs I estimate similar models to those specified in the previous paper to test whether different allocation_rules represent changes in the political bias. For the final_essay 0I use municipal_level information on a decentralized social program in order_to_test for the effects_of_decentralization on the politics of distribution. The main_findings on this research are, first, that policy_instruments for distribution of federal outlays for social_welfare_programs in Mexico are still highly influenced by electoral politics. Second, timing resources to elections has been less evident as a political strategy due to the gradual_implementation of programs or to decentralization. Third, allocation is still highly influenced by partisan considerations. Former opposition_parties have succeeded in increasing their share of resources as vote for their party increases. Fourth, decentralization has affected the power_balance as party_affiliation of state_governors is now relevant for distribution at the municipal level."
4964,"Teenagers engage in an expanding variety of interpersonal contacts with increasing independence from the familial context. One aspect of this developing social_realm is confronting conflict. Conflict resolution strategy reflects adolescents' social skill capacity and the extent to which they can integrate skills in a typical but trying situation. The current_study investigates the contribution of observed and self-reported social_skills to conflict_resolution ability in three contexts. Longitudinal associations between social ability (communication, assertiveness, anxiety, and aggression) and conflict_resolution strategy in role-play interactions_involving a parent, peer, and teacher are examined. The associations between conflict_resolution ability and general indicators_of_social competence, including confidence in social interactions, school engagement, and rule-abiding behavior, are also examined. The current_investigation examines_the_process_of_conflict_resolution mastery of 177 adolescents during their 6 th and 7 th grade years. Of these New York_City_public_and_parochial school students, 57.1% were Black, 29.4% Latino, and 9.6% White; gender was equally distributed. Overall, Social ability and conflict_resolution ability changed little between 6 th and 7 th grade. Seventh graders showed better skills with peers than with adults. Findings suggest that social_skills associated with conflict_resolution are context-specific. With a parent, 6 th grade communication skill was associated with later use of compromise or negotiation (exp&#946; = 2.82). Less-skilled communication at 6 th grade increased the likelihood that adolescents offered reasons to resolve conflict with a parent at 7 th grade (exp&#946; = .36). Negotiating with a peer at 7 th grade was more likely among adolescents who were assertive 6 th graders (exp&#946; = 1.65). Though adolescents consistently demonstrating solution-based resolution with parents_and_peers were better communicators than their agemates (e.g. 6 th grade parent communication, M = 3.37 versus 2.91), overall they show less ability over time (e.g. parent communication M = 3.37, then 3.08). The association of solution-seeking strategy with a teacher and school_engagement was the only connection between adolescent_conflict_resolution and global indicators_of_social competence. Implications for skills-based prevention_curricula are discussed."
49103,"The present_study_attempted_to_replicate_and_extend_prior_work of Cannon, Mednick, and Parnas (1990) suggesting a model whereby autonomically hyper-responsive high-risk children who are exposed to early_life_stress are at elevated_risk for adult schizophrenia in which positive-symptoms predominate. In a prospective high-risk sample of 72 subjects, we examined the interaction between early_childhood stressful_life_events and two measures of autonomic_nervous_system responsivity in the prediction of adult reality_distortion (delusions and hallucinations). We observed a significant_effect for number of responses to orienting trials in combination with early_life stress, but no significant_interaction involving ANS average_half recovery rate. Contrary to predictions, we observed a pattern wherein higher_levels_of_life_stress were associated with elevated_risk for adult reality_distortion among ANS non-responders, but not among subjects_with_normal or high ANS responsiveness. We also observed significant relationships between early_life_stress and ratings of children's subsequent anxiety, social extroversion, and general competence. Finally, we observed a significant_predictive_relationship between disagreeable, mistrustful childhood behaviors and adult reality_distortion symptoms. Results are interpreted_as_supporting the presence of a discernible longitudinal reality_distortion syndrome with roots in childhood."
46423,"After being defined as one of the most wretched of all human species in the nineteenth century, popular news_magazines heralded Chinese as one of the nation's ""Model Minorities"" in the mid-1960s. As the plight of the African_American family was being debated as cause for ""national action,"" news_articles reported Chinese were ""moving ahead on their own--with no help from anyone else."" This study_traces the depictions of Chinese in popular_periodicals from their earliest_arrival through the 1930s. Reader's Guide to Periodical Literature, the San_Francisco Newspaper Index, and the New York_Times_Index supply the titles for the articles from which images of Chinese are extracted. Secondary sources on race_relations and the Chinese and African_American experiences provide_information for a historical context. Findings indicate the shift to more favorable depictions of Chinese began_in_the_late 1920s. By 1940 the foundation for the ""Model Minority"" was firmly in place. The demise of biologistic definitions of racial_differences and the subsequent_rise of a social_definition made this transition possible. Within sociology, the emergence of the assimilation_theory_corresponds with this shift. Through an analysis of studies on the actual position of the Chinese_in_the_United_States during this period, we find more positive_depictions that emerged were less a reflection of actual changes in the status of the Chinese vis-a-vis whites than the proliferation of the social_definition of race (and the accompanying racial ideology, assimilation theory, race_relations cycle, etc.) which argues that such changes are not only possible, but desirable and inevitable. Theoretically the study challenges_the_predominant understanding of ""race relations"" as part of an ecological process of ""assimilation."" It contributes to an alternative understanding of particular races as part_of_a_larger ""racial formation""--which is a dynamic complex of racial meanings, structured at both the micro-level (identities) and macro-level (institutions). The concept_of_racial_formation allows us to understand the historical changes in racial_meanings of Chinese Americans within the context_of_African American-white relations."
9648,"The hierarchical_linear_model (HLM) is becoming a common choice for analyzing_longitudinal data. Theoretically, the HLM can explicitly model serial correlation, which is often found in longitudinal data, and can also provide_unbiased_parameter_estimates in the presence of certain kinds of missing data. However, no empirical investigations comparing use of the HLM with more traditional models of analysis for longitudinal_data have been performed. This study compares the HLM with repeated_measures_analysis_of_variance_and_multivariate_analysis_of_variance in the presence_of_increasing levels of serial correlation. In addition, the study investigates the performance of the HLM under increasing levels of missingness, when the data_are_missing_completely_at_random and when the data_are_missing at random."
4352,"This study_investigated the experiences of 133 men and women, who worked full_time and cared for a frail parent. Many aspects of the employee caregivers life were examined: the work experience, the caregiving experience, the interactional effects of work and parent care, the level of family_and_community support, and the quality of the employee caregiver's relationship with the parent. These variables_were_examined_in_relation to the following outcome measures: the employee caregiver's future_commitment to care for an aging parent; the physical_and_mental strain of combining work and parent care; and its impact on employment. For the most part, validated scales and indexes were used to measure the independent_and_dependent variables. Major_findings_revealed that, in spite of any personal or practical costs to employee caregivers, they were firmly committed to providing care, as the parents' needs increased. The interactional effects of balancing_work and parent care, as measured by role_strain and the number_of_negative_life changes experienced, as a result of caregiving, predicted the caregivers' physical_and_mental strain. The number of work interferences (unscheduled days off, tardiness, and excessive telephoning), due to parent care duties, were determined by the closeness of the adult_child_and_parent relationship, and by the caregiver's involvement in parent care. Respondents with the heaviest caregiving responsibilities, reported the most work interferences. And respondents with the closest relationships were the most willing to take time away from work to care for their parents. Support from family and friends, as well as the supervisor, buffered some of the negative_consequences of performing the joint roles. The respondents' most frequently_requested workplace changes were for health_insurance for their parents and personal_counseling for themselves. Implications_for_social_work_practice_and_policy are reviewed_and_recommendations are presented."
6756,"204 Black American, Asian American, Latino American, and White_American_college_students_were_recruited_from_local suburban_and_urban colleges to participate in this study. The sample of participants included ethnically_and_socioeconomically_diverse_college_students who were living in the New York_City_metropolitan area, and who were between the ages of 18 and 22. Participants completed various questionnaires (i.e., Inventory_of_Parent_and_Peer Attachment, Parental Bonding Instrument, and Parental Authority Questionnaire) about their childhood_relationships_with_their_parents to determine if and how race/ethnicity and socioeconomic_status (SES) influenced the relationship between child-parent attachment, parental bonding, parental_authority and psychological_functioning and self-efficacy. For all ethnicities, high secure attachment, optimal parental bonding, and authoritative_parenting were associated with better psychological_functioning and higher self-efficacy. For all ethnicities, higher_SES was correlated with more secure attachment, more optimal bonding, and more authoritative parenting. Also, participants from different racial/ethnic backgrounds reported that their parents implemented different levels_of_parental_authority during their childhood. More American_ethnic_minority_participants who reported being raised with more authoritarian_parenting methods reported having a secure relationship with their parents than did White_American_participants who also reported being raised with more authoritarian methods."
4344,"Teenage pregnancy is a major biological, mental health, and social problem. A research opportunity_arose when six programs for teenage_mothers were initiated in a major_urban_public_school system. The programs attempted to prevent pregnant_girls from dropping_out_of_school and to encourage them to finish their high_school_education and develop parenting_skills by providing day_care_and_special parenting education. Initially, a sample of 89 girls of the total_population of all programs was selected and an evaluation_design_was_chosen to study which program or programs had the greatest_impact on the girls. Data_were_collected_by_administering a questionnaire to the girls, and staff_interviews were undertaken. Participant observation lasting_a_week_at_each_program_provided extensive information about the girls' feelings. It was found, however, that the programs did not conform to their set standards, the girls were different in each program, and different types of girls were selected for participation by the program. Consequently, an evaluative study was not possible because a control_group was not feasible; but the vast_amount of valuable_information_collected about girls and programs permitted a comparative_case_study to be designed. It was found_that_girls returned to school to attend a program, and it seemed that a high-school-based program_provided comprehensive service to teenage_mothers and their children. The importance of a program providing_a_nurturing_environment was found to be an essential factor. Subgroups of mothers according to educational need were found. Many girls had serious remedial_education problems requiring the educational component to be flexible and staffed by qualified remedial teachers. An integrated program with the public_school is recommended, including education, day care, parenting education, and counseling. A preschool preventive curriculum utilizing Headstart is a possible approach_to_teaching_children about human_relationships and sexuality."
46559,"Advocates of community_policing claim that such a strategy improves citizen_satisfaction with service by increasing positive, direct_contact between police and community residents. Using data from a sample of 2,189 residents of Eugene, Oregon, this study_examined_the_relationship between citizen_satisfaction_with_police service and support for a community_policing strategy. Bivariate_analysis_revealed that citizens who are dissatisfied with police_services are more likely than citizens who are satisfied to agree that police should increase contact with city residents. Dissatisfied and satisfied citizens are about equally likely to agree that police_officers should be assigned to neighborhoods on a long-term basis. Overall, the majority_of_respondents indicated that they were satisfied with police service, and most expressed support for these community_policing strategies."
16815,"This is a comparative_study of the behavior and attitudes_of_middle_school_teachers in Japan and the US. The findings_challenge_a_commonly_held assumption among Americans that grade schools in Japan are more academically oriented; at least it shows that Japanese teachers_spend a smaller_fraction of their work_day teaching academic subjects. Teachers in twelve middle schools, six in the US and six in Japan, were selected for the study. Survey and field_work methods were employed. In total, 137 American and 173 Japanese teachers returned questionnaires. Extensive field_work included_interviews with teachers, administrators, and parents, as well as classroom observations. The data reveal that American teachers_spend a significantly_larger_proportion of their work time on academic_tasks than Japanese teachers and Japanese teachers_spend_a_larger_proportion of their work time on student-related tasks than American teachers. Japanese teachers also spend relatively more time on school management and meetings. The study_shows key structural differences between middle schools in the two countries in school organization, particularly the curriculum, staffing patterns, class_size and school environment, that relate to teachers' work behavior. The study also shows fundamental_differences between Japanese and US teachers in their views of teaching. Teaching is a ""profession"" in both countries. In Japan, however, a teacher is seen as a generalist with diffuse responsibilities while in the United_States a teacher is seen as a specialist. These divergent conceptions_of_teaching are consistent with behavioral and structural differences between the two systems. The findings_of_this_study_contribute to institutional studies on school_organization by demonstrating the institutional effects emanating in different societies on teachers' work and views of teaching. The results_imply that solutions to students' academic_performance cannot be found within school alone. At a minimum, broader_social beliefs_about_the_role of schools need to be taken into account."
15758,"This research program investigated discrimination in the solo situation as it applies to gender (e.g., a single woman in a group of men). Two studies_compared_female_and_male solos on female- and male-stereotyped group tasks across three group gender compositions. In each study, six-person groups met to plan a campus fundraiser event. Each group included either one, two, three, four, or five females. In the one- and two-female conditions, one of the women was a confederate; in the four- and five-female conditions, one of the men was a confederate. In the gender-balanced (three women and three men) condition, half of the balanced groups included a male confederate, and half included a female confederate. The solo was always a confederate. The research measured how subjects_behaved toward the confederates by coding and analyzing videotapes of the group interactions and utilizing a post-interaction questionnaire. Both unfavorable (negative) and favorable (positive) bias was measured. Subjects' treatment of the confederates was compared between solo and nonsolo conditions_to_determine whether solo_status or social_status (i.e., gender) was causing solo effects observed in past_studies lacking a nonsolo control group. The project design also tested the effects of the interaction of solo gender with task gender stereotype, a previously_untested variable in this area. Results did not support prior solo research. No evidence_of_discrimination against gender solos, per se, was found. Instead, the group_gender_composition that produced_the_highest_incidence of both negative_and_positive gender_bias was that in which one other member was the same gender as the confederate (group gender_composition 2:4). Both confederate_gender and the gender stereotype of the group_task_also_influenced the group interaction. Overall, when the group_task was male-stereotyped, female confederates experienced_negative discrimination. When the group_task was female-typed, female confederates continued to experience_negative_bias and male confederates received_positive bias, despite the task gender stereotype. Male confederates also experienced_negative discrimination for the female-typed task. It was concluded that gender, not solo status, caused the effects obtained in previous solo research."
51040,"This is a theoretical effort to mathematically analyze the causes and effects of ethnic neighborhoods. Beginning with the contention that an individual_experiences more productive interactions with his or her neighbors if they share_a_common ethnicity or race, we will build_a_model that will both describe the formation of ethnic_neighborhoods and explain some of the economic homogeneities of those neighborhoods. The model will involve a large_number of differentiated individuals inter-temporally deciding_where_to_live and how much education to accumulate, in a world that includes an ethnic externality, congestion costs, and additional effects on neighborhood productivity resulting from the presence of wealth. The system will be solved through rigorous micro-economic analysis and the results will be statistically confirmed."
33181,"This study provides an overview of many aspects of the experience_of_parental_death within the American population, utilizing data_from_the_National_Survey_of_Families and Households, a large, stratified, random, nationally_representative_survey (n = 13,017). This study investigates the incidence of parental death, the characteristics of the recently bereaved, the influence_of_parental_loss on various family relationships, and the characteristics of those at highest_risk for experiencing_symptoms_of_depression following a parent's death. One of every forty adults in this study was found to experience a parent's loss annually. The recently_bereaved were significantly more likely to be male, married, Black, older, and to have not received any social_support in the month preceding the interview. In this study, depressive_symptomatology was not associated with the experience of a parent's death. However, among the recently bereaved, depressive_symptoms_were_found_to_be_significantly_higher among women, the young, the less educated and less healthy, the non-Hispanic, those who had received_social_support in the previous month and those who, at age 16, had not lived with the recently_deceased parent. The number of surviving parents was significantly associated with conflict and closeness with siblings and contact_and_closeness with parents. This research represents one of the few nationally_representative studies on parental_death to include adequate_control variables. The null_findings with respect to parental_death and depression suggest that for most people, loss_of_a_parent does not result in serious mental_health consequences. However, the relationship_between_parental_death and relationship_quality suggests that other outcomes such as grief, relationship quality, and the accomplishment of developmental mid-life tasks may be more relevant foci than depression for future_research in the area."
46381,"This project investigated the impact of subthreshold_neglect on the security and organization of infant-mother attachment bonds. Subthreshold neglect was defined as poor_parenting that was not severe enough to mandate involvement of child protection agencies. On average, teen_mothers were more neglectful than low-resource and high-resource adult mothers; however, the rates of insecure and disorganized_attachment did not differ_significantly between teens and adults. Across all groups, subthreshold_neglect of children's developmental advance and emotional needs was associated with insecure infant-mother attachment. Specifically, mothers who were more neglectful were more likely to have children with an insecure-avoidant attachment pattern. Subthreshold neglect was not associated with the disorganization of the attachment bond. Results are discussed_in_terms_of_differences between subthreshold and substantiated child_neglect as well as implications_for_intervention_and_prevention with subthreshold neglect."
35810,"The dissertation is a study of psychiatric_and_psychological assessments of juveniles coming before the juvenile courts in London, England. The central_research_question is: what are the behavioural and interactional bases of psychiatrists' and psychologists' assessments of juveniles? The dissertation_seeks to link the professional judgments and claims of psychiatrists and psychologists (the texts of assessment reports) to the specific_interactions that they have with the juveniles concerned. The principal_findings may be summarised as follows: (1) The professional assessments of the psychiatrists and psychologists, as they appear in the texts of their reports to the juvenile courts, are highly_selective in terms of what is available for comment in the interaction of assessment meetings. (2) In making their selective textual summaries of children the psychiatrists and psychologists rely_heavily on categorisation procedures which 'frame' the children's behavioral and interactional performances during the assessment in inclusive and exclusive ways. The basis of the categories used are conventional in that they occasion common-sense knowledge about activities and characteristics which, by convention, are seen as typical of persons in that category. Accordingly, the written assessments of psychiatrists and psychologists are seen as partial, typified and category bound, rather than based on the unique particulars of the individual child. (3) Despite the claims of psychological testing to be based on test standardisation, uniformity of procedure and the attainment of objective knowledge, each of these principles are violated in practice. This is attributable to the social and interactional nature of psychological testing rather than the incompetence of the tester. The form of a child's performance in testing, as well as the content, are important for purposes of test scoring and the psychologist's interpretation of test responses. (4) The interpretation of projective test responses is less 'objective' than early_proponents of the approach had suggested and under detailed_analysis can be seen as rather speculative. Accordingly, the written_reports of the psychologist are similarly speculative in parts. (5) Both the psychiatrists' and the psychologists' written_reports are 'recipient designed'. That is to say, their content and phrasing are edited and designed_to_suit the (presumed) interests and expectations of those who might read them. This further calls_into_question the extent to which these reports reflect the individual_characteristics of the children assessed as these are displayed in the interaction of assessment meetings."
50886,"Evidence of normative_influence on health behavior has been broadly identified; however, issues regarding the mechanism, transmission and enforcement of norms remain to be understood. Drawing from Giddens' (1984) Theory of Structuration, Rogers' Diffusion of Innovation (1983), and Bandura's Social Cognitive Theory (1983), this dissertation_examines the mediating roles of cost-benefit judgments, interpersonal_communication_and_social sanctions in the norms-behavior and norms-intention relations. Specifically, this study_proposes that group_norms indirectly impact behavior or intention by affecting the ways that group_members judge behaviors. In addition, normative_messages are shared through the process_of_interpersonal_communication and norms become effective when they are enforced through social sanctions. An online_survey of over 500 students from various student organizations in a major_university was conducted_to_determine_the_influence_of_group_norms_on_drinking_behavior and intention. Results of structural_equation_modeling indicated that perceived benefit of drinking was positively associated with drinking intention and behavior. The perceived benefit also fully_mediated the norm-intention and norm-behavior relations. The perceived cost resulting from drinking, however, was not a significant predictor of either drinking intention or behavior. Both social reward_and_punishment had positive direct effects on drinking intention and are significant mediators of norms and drinking intention, but not of actual_drinking behavior. Communication patterns fully_mediated both the norms-behavior and norms-intention relations. These mediation findings_suggest that: (1) the norms-intention relationship will not be well established without the process_of_social sanctions; (2) the influence_of_group_norms on both behavior and intention depend on the perceived benefit of judgment on drinking and the level of communication about drinking among group members. These results have significant importance for the effective design of public_health campaigns."
14855,"My dissertation_makes three important contributions to the development_of_the_concept_of_social capital. The first contribution provides a systematic theoretical_framework within which to study social capital. This framework builds on the understanding that the most important_dimension of social_capital is the institutionalization of generalized attitudes such as trust and norms of reciprocity. I identify three important areas in social_capital research that suffer from insufficient theorizing and a lack_of_empirical research. These areas are (1) the study of the causes of institutionalization of generalized_trust or lack thereof, (2) the building and testing of a micro-theory of social_capital that elucidates the relationship between associational membership and generalized trust; and (3) the study of the consequences of the institutionalization of generalized trust. The additional contributions of my dissertation to the concept_of_social_capital include empirical investigations in two of the three proposed_research areas, the findings of which greatly modify and challenge_current_assumptions in social_capital research. The second contribution pertains to the critical assumption in social_capital_theory that memberships in voluntary_associations foster generalized trust. The problem with this assumption is that no empirical_proof of this relationship exists, as the research_to_date has suffered from endogeneity problems, the lack_of_relevant_data on group memberships, and the lack_of_a_coherent micro-theory of social capital. In this dissertation, I provide the first empirical test of this important hypothesis with a unique self-collected data_set that overcame most of the aforementioned problems. My findings_verify our common_understanding as developed by social_capital research about the connection between membership_in_voluntary_associations and trust, but they do not verify strongly that these types_of_interactions are causes for trust. In my third contribution_to_social_capital theory, I went beyond the importance of voluntary_associations to examine the sources of generalized_trust outside of the group life, in regional settings. Recent_explanations for differences_in_regional social_capital emphasize static or path-dependent development patterns_of_social capital. However, in an investigation of three Swedish regions, I examined how contemporary regional factors contribute to facilitating or hampering the development of regional stocks of social capital. In particular, I emphasize the potential of current aspects of local_government to influence citizens' generalized trust. The findings of both of my empirical investigations have major_implications for the building and development_of_social_capital theory."
