"CASEID","AGE","EDUC","RACE","SEX","RELIG","AGE_CATEGORICAL","EDUC_CATEGORICAL","NUMGIVEN","HAPPY","HEALTH","PARTYID","WTSSALL"
19850377,53,8,"black","male","protestant","50s","No HS",0,3,4,6,0.5181
19850378,59,6,"black","male","protestant","50s","No HS",0,3,4,3,0.5181
19850379,84,8,"white","female","protestant","60+","No HS",2,2,3,4,0.5181
19850380,76,10,"white","female","catholic","60+","No HS",4,1,1,5,1.0363
19850381,51,11,"white","female","catholic","50s","No HS",5,1,1,6,1.5544
19850382,69,12,"white","female","catholic","60+","HS",2,1,1,5,1.0363
19850383,73,9,"black","male","protestant","60+","No HS",4,3,4,0,1.0363
19850384,27,8,"hispanic","female","none","20s","No HS",5,3,1,3,0.5181
19850385,55,12,"black","male","protestant","50s","HS",4,3,2,1,0.5181
19850386,85,8,"white","male","jewish","60+","No HS",2,3,4,1,0.5181
19850387,22,12,"asian","female","protestant","20s","HS",1,2,3,3,0.5181
19850388,74,10,"white","female","catholic","60+","No HS",4,1,2,2,0.5181
19850389,34,10,"white","female","protestant","30s","No HS",4,3,2,3,1.0363
19850390,72,3,"white","female","catholic","60+","No HS",4,2,3,0,1.0363
19850391,70,9,"white","male","catholic","60+","No HS",6,3,4,5,1.0363
19850392,28,16,"white","female","catholic","20s","College",3,2,2,2,1.0363
19850393,28,12,"white","female","none","20s","HS",1,2,2,0,0.5181
19850394,27,12,"white","female","protestant","20s","HS",2,2,2,1,0.5181
19850395,40,14,"black","female","protestant","40s","Some College",1,2,1,1,0.5181
19850396,62,15,"white","male","catholic","60+","Some College",1,2,2,1,1.0363
19850397,68,12,"white","female","catholic","60+","HS",2,1,1,3,0.5181
19850398,37,12,"white","male","catholic","30s","HS",0,2,2,3,0.5181
19850399,27,12,"white","male","catholic","20s","HS",1,2,3,5,1.0363
19850400,36,18,"white","male","catholic","30s","Post Graduate",3,1,2,2,0.5181
19850401,23,16,"white","female","catholic","20s","College",1,2,1,4,1.5544
19850402,60,15,"white","female","catholic","60+","Some College",1,2,3,0,1.0363
19850403,32,12,"white","female","protestant","30s","HS",1,2,2,1,0.5181
19850404,85,8,"white","male","protestant","60+","No HS",1,1,4,1,1.0363
19850405,70,8,"white","female","catholic","60+","No HS",0,2,3,5,1.0363
19850406,72,7,"white","male","catholic","60+","No HS",1,2,1,5,1.0363
19850407,58,12,"white","male","catholic","50s","HS",1,2,2,3,1.5544
19850408,29,11,"white","male","catholic","20s","No HS",2,1,1,3,1.0363
19850409,63,12,"white","male","protestant","60+","HS",5,1,1,4,1.0363
19850410,NA,12,"white","female","protestant",NA,"HS",4,3,1,4,0.5181
19850411,31,14,"white","male","protestant","30s","Some College",5,2,2,2,1.0363
19850412,31,8,"white","female","catholic","30s","No HS",4,2,4,3,0.5181
19850413,64,11,"white","male","catholic","60+","No HS",2,1,2,2,1.0363
19850414,48,12,"white","female","protestant","40s","HS",5,2,1,3,0.5181
19850415,38,20,"white","male","catholic","30s","Post Graduate",5,1,1,4,1.0363
19850416,44,16,"white","male","jewish","40s","College",3,1,2,5,1.0363
19850417,39,19,"white","male","catholic","30s","Post Graduate",2,1,1,4,1.0363
19850418,25,12,"white","male","catholic","20s","HS",3,2,1,2,0.5181
19850419,42,12,"white","male","protestant","40s","HS",5,2,3,4,1.5544
19850420,27,17,"white","female","protestant","20s","Post Graduate",5,2,1,2,1.0363
19850421,30,18,"white","male","catholic","30s","Post Graduate",4,2,2,2,1.0363
19850422,46,12,"white","female","protestant","40s","HS",5,2,1,3,0.5181
19850423,78,9,"white","male","catholic","60+","No HS",2,2,2,1,0.5181
19850424,63,10,"white","female","protestant","60+","No HS",2,2,2,5,0.5181
19850425,24,16,"white","female","catholic","20s","College",5,1,1,5,1.0363
19850426,64,11,"white","male","catholic","60+","No HS",6,1,1,0,1.5544
19850427,66,12,"white","male","protestant","60+","HS",4,1,2,6,1.0363
19850428,35,18,"white","male","protestant","30s","Post Graduate",4,2,2,5,1.0363
19850429,37,13,"white","female","catholic","30s","Some College",5,2,1,5,1.0363
19850430,46,12,"white","female","protestant","40s","HS",4,2,1,4,1.5544
19850431,86,5,"white","male","catholic","60+","No HS",2,2,4,1,0.5181
19850432,62,11,"black","female","protestant","60+","No HS",NA,2,2,1,1.0363
19850433,31,14,"black","female","protestant","30s","Some College",5,2,1,0,1.0363
19850434,20,12,"hispanic","female","catholic","20s","HS",4,2,3,1,2.0725
19850435,42,20,"black","male","protestant","40s","Post Graduate",3,2,2,2,1.0363
19850436,60,9,"white","male","catholic","60+","No HS",4,2,2,6,1.0363
19850437,21,12,"white","male","catholic","20s","HS",4,1,2,4,1.5544
19850438,45,18,"white","male","catholic","40s","Post Graduate",5,1,1,5,1.0363
19850439,36,18,"white","male","protestant","30s","Post Graduate",1,1,1,3,1.0363
19850440,63,12,"black","male","protestant","60+","HS",6,2,1,NA,0.5181
19850441,31,12,"white","male","protestant","30s","HS",2,1,1,4,0.5181
19850442,39,12,"white","female","protestant","30s","HS",3,2,3,4,1.0363
19850443,20,13,"black","female","protestant","20s","Some College",5,2,2,1,3.1088
19850444,34,12,"white","female","catholic","30s","HS",6,2,3,2,0.5181
19850445,36,12,"white","male","catholic","30s","HS",1,2,3,3,1.0363
19850446,67,12,"white","female","catholic","60+","HS",4,2,2,3,0.5181
19850447,22,12,"white","female","catholic","20s","HS",3,2,2,6,1.0363
19850448,21,14,"white","female","protestant","20s","Some College",6,2,1,6,1.5544
19850449,48,12,"white","male","catholic","40s","HS",0,2,2,5,1.5544
19850450,19,11,"white","male","catholic","20s","No HS",5,2,1,1,2.0725
19850451,63,12,"white","male","protestant","60+","HS",3,1,1,1,1.0363
19850452,27,12,"white","female","catholic","20s","HS",3,1,1,1,1.0363
19850453,42,11,"white","female","protestant","40s","No HS",4,2,1,2,1.0363
19850454,44,13,"white","female","jewish","40s","Some College",3,1,2,4,0.5181
19850455,30,17,"white","female","none","30s","Post Graduate",6,2,1,2,1.0363
19850456,33,16,"white","male","none","30s","College",4,2,1,6,1.0363
19850457,75,12,"white","male","catholic","60+","HS",3,1,1,6,1.0363
19850458,65,12,"white","female","protestant","60+","HS",5,2,2,5,1.0363
19850459,22,12,"white","male","catholic","20s","HS",1,2,3,1,1.0363
19850460,26,11,"hispanic","female","catholic","20s","No HS",2,2,3,1,1.5544
19850461,49,16,"white","male","protestant","40s","College",0,3,4,3,0.5181
19850462,63,14,"white","male","catholic","60+","Some College",3,2,2,6,2.0725
19850463,55,16,"white","male","catholic","50s","College",5,2,3,3,1.0363
19850464,48,12,"white","male","catholic","40s","HS",2,3,3,0,0.5181
19850465,32,12,"white","male","protestant","30s","HS",1,2,2,4,1.0363
19850466,38,15,"white","female","catholic","30s","Some College",5,1,2,2,1.0363
19850467,25,14,"white","female","protestant","20s","Some College",2,2,2,2,0.5181
19850468,50,13,"white","female","catholic","50s","Some College",5,3,3,3,0.5181
19850469,51,12,"white","male","protestant","50s","HS",5,2,4,3,1.5544
19850470,38,15,"white","male","protestant","30s","Some College",4,2,2,4,1.0363
19850471,75,8,"white","female","catholic","60+","No HS",2,3,3,0,0.5181
19850472,32,14,"white","female","protestant","30s","Some College",3,2,1,4,1.0363
19850473,26,12,"white","female","catholic","20s","HS",3,2,2,4,1.0363
19850474,43,16,"white","male","protestant","40s","College",3,2,3,0,1.0363
19850475,41,14,"hispanic","female","catholic","40s","Some College",3,2,1,5,0.5181
19850476,64,12,"white","male","protestant","60+","HS",1,2,3,3,0.5181
19850477,23,12,"white","male","none","20s","HS",4,2,2,5,1.0363
19850478,29,13,"white","female","catholic","20s","Some College",2,1,1,4,1.0363
19850479,26,12,"white","female","protestant","20s","HS",2,2,3,5,0.5181
19850480,31,13,"white","female","catholic","30s","Some College",3,2,3,4,1.0363
19850481,37,9,"white","male","none","30s","No HS",1,1,2,3,1.0363
19850482,32,12,"white","female","protestant","30s","HS",5,2,2,1,0.5181
19850483,83,7,"white","female","catholic","60+","No HS",2,2,1,1,0.5181
19850484,35,12,"white","male","catholic","30s","HS",1,3,2,4,1.0363
19850485,27,12,"white","male","protestant","20s","HS",2,2,2,4,1.0363
19850486,37,17,"white","male","none","30s","Post Graduate",5,1,1,1,1.0363
19850487,42,17,"white","female","catholic","40s","Post Graduate",3,2,2,5,1.0363
19850488,46,12,"white","male","protestant","40s","HS",2,2,2,4,1.0363
19850489,32,12,"white","male","protestant","30s","HS",1,2,2,0,1.5544
19850490,43,3,"hispanic","female","catholic","40s","No HS",1,1,3,1,2.5907
19850491,72,8,"white","male","catholic","60+","No HS",1,2,2,0,1.0363
19850492,80,3,"white","female","catholic","60+","No HS",1,3,3,2,0.5181
19850493,23,12,"white","male","catholic","20s","HS",1,2,1,0,1.0363
19850494,82,15,"white","female","protestant","60+","Some College",1,2,2,6,0.5181
19850495,40,12,"black","male","protestant","40s","HS",0,2,2,3,1.0363
19850496,26,13,"black","male","none","20s","Some College",0,1,2,2,1.0363
19850497,43,15,"black","female","protestant","40s","Some College",1,2,1,0,0.5181
19850498,43,10,"black","female","protestant","40s","No HS",1,2,2,1,1.0363
19850499,27,12,"white","female","protestant","20s","HS",1,2,2,4,1.0363
19850500,63,12,"white","male","protestant","60+","HS",5,1,1,0,1.0363
19850501,28,16,"white","male","protestant","20s","College",2,1,1,5,1.0363
19850502,67,12,"white","female","catholic","60+","HS",3,2,3,6,1.0363
19850503,45,12,"white","male","catholic","40s","HS",3,1,2,4,1.0363
19850504,50,15,"white","male","catholic","50s","Some College",4,2,2,0,0.5181
19850505,62,12,"white","female","protestant","60+","HS",5,1,1,6,1.5544
19850506,NA,12,"white","female","catholic",NA,"HS",0,1,2,0,0.5181
19850507,36,16,"white","male","none","30s","College",6,3,2,2,0.5181
19850508,42,12,"white","male","protestant","40s","HS",3,1,1,5,0.5181
19850509,85,10,"white","female","catholic","60+","No HS",5,2,1,1,1.0363
19850510,62,13,"white","male","catholic","60+","Some College",6,2,2,2,1.5544
19850511,38,16,"white","female","none","30s","College",4,1,1,1,0.5181
19850512,63,14,"white","male","catholic","60+","Some College",3,2,2,5,1.0363
19850513,37,12,"white","male","catholic","30s","HS",1,2,2,4,1.0363
19850514,67,10,"white","female","catholic","60+","No HS",1,3,2,6,0.5181
19850515,82,8,"white","female","protestant","60+","No HS",1,2,3,2,1.0363
19850516,58,17,"white","male","catholic","50s","Post Graduate",3,2,2,5,0.5181
19850517,25,12,"white","male","catholic","20s","HS",1,2,2,6,0.5181
19850518,81,8,"white","female","protestant","60+","No HS",5,1,1,5,1.0363
19850519,37,12,"white","female","protestant","30s","HS",5,2,2,4,0.5181
19850520,32,17,"white","male","catholic","30s","Post Graduate",2,2,2,5,1.0363
19850521,56,12,"white","male","protestant","50s","HS",3,2,2,5,1.0363
19850522,49,12,"white","female","protestant","40s","HS",0,2,2,1,1.0363
19850523,60,12,"white","male","catholic","60+","HS",3,2,2,5,1.0363
19850524,58,20,"white","male","protestant","50s","Post Graduate",6,2,4,1,1.5544
19850525,61,16,"white","male","protestant","60+","College",5,2,3,5,1.0363
19850526,73,8,"black","female","protestant","60+","No HS",4,3,4,1,0.5181
19850527,56,10,"black","male","protestant","50s","No HS",3,3,2,1,1.0363
19850528,35,13,"black","female","protestant","30s","Some College",2,2,1,2,0.5181
19850529,23,14,"white","male","catholic","20s","Some College",5,1,2,2,0.5181
19850530,51,9,"black","male","protestant","50s","No HS",3,2,1,1,0.5181
19850531,33,12,"black","male","catholic","30s","HS",4,2,2,0,0.5181
19850532,59,16,"white","female","protestant","50s","College",4,2,1,6,0.5181
19850533,27,14,"white","female","protestant","20s","Some College",5,1,2,5,1.5544
19850534,62,13,"white","male","protestant","60+","Some College",6,1,2,5,1.0363
19850535,34,14,"white","male","catholic","30s","Some College",5,2,2,5,1.0363
19850536,29,13,"white","male","protestant","20s","Some College",2,2,2,1,1.0363
19850537,43,13,"white","female","none","40s","Some College",2,1,1,5,1.0363
19850538,54,13,"white","male","protestant","50s","Some College",5,3,1,5,0.5181
19850539,45,18,"white","female","protestant","40s","Post Graduate",5,2,1,5,1.0363
19850540,35,16,"white","male","protestant","30s","College",2,2,2,5,1.0363
19850541,21,12,"white","female","catholic","20s","HS",0,2,2,3,1.0363
19850542,23,12,"white","female","protestant","20s","HS",5,2,1,1,1.0363
19850543,55,12,"white","male","protestant","50s","HS",5,1,1,1,1.0363
19850544,35,18,"white","male","none","30s","Post Graduate",5,2,2,5,1.0363
19850545,46,17,"white","male","catholic","40s","Post Graduate",5,2,2,1,1.0363
19850546,30,13,"black","male","protestant","30s","Some College",2,3,4,0,2.0725
19850547,48,14,"black","male","protestant","40s","Some College",1,2,1,3,1.0363
19850548,30,16,"black","male","protestant","30s","College",2,2,1,0,1.5544
19850549,34,18,"black","male","protestant","30s","Post Graduate",2,2,1,2,1.0363
19850550,28,12,"white","male","none","20s","HS",1,2,3,3,0.5181
19850551,29,12,"white","female","none","20s","HS",2,2,2,3,1.0363
19850552,34,13,"white","male","other","30s","Some College",6,2,4,5,1.0363
19850553,41,12,"white","male","protestant","40s","HS",5,2,1,2,1.0363
19850554,20,13,"white","female","protestant","20s","Some College",4,2,2,5,1.0363
19850555,44,15,"black","female","protestant","40s","Some College",6,2,2,4,1.0363
19850556,80,8,"white","male","protestant","60+","No HS",0,2,4,0,1.5544
19850557,47,14,"white","female","protestant","40s","Some College",5,2,1,4,0.5181
19850558,19,13,"white","male","protestant","20s","Some College",3,2,1,6,1.5544
19850559,31,16,"white","male","protestant","30s","College",3,2,1,2,0.5181
19850560,77,16,"white","male","protestant","60+","College",2,1,1,5,0.5181
19850561,51,12,"white","male","protestant","50s","HS",0,3,3,1,1.0363
19850562,32,12,"other","female","protestant","30s","HS",3,2,2,1,1.0363
19850563,NA,10,"white","male","protestant",NA,"No HS",0,1,2,6,1.0363
19850564,49,12,"white","female","protestant","40s","HS",3,2,2,1,1.0363
19850565,61,12,"white","male","protestant","60+","HS",5,1,2,2,1.0363
19850566,70,12,"white","female","catholic","60+","HS",5,1,1,0,1.0363
19850567,39,16,"white","female","other","30s","College",1,2,1,3,0.5181
19850568,39,13,"white","female","protestant","30s","Some College",3,1,1,1,1.5544
19850569,83,13,"white","female","protestant","60+","Some College",NA,1,2,6,0.5181
19850570,62,12,"white","male","protestant","60+","HS",2,2,1,4,1.5544
19850571,38,20,"white","male","protestant","30s","Post Graduate",6,1,1,6,0.5181
19850572,34,12,"white","female","protestant","30s","HS",2,2,1,6,1.0363
19850573,50,12,"white","male","protestant","50s","HS",1,3,1,3,2.0725
19850574,50,12,"white","female","catholic","50s","HS",6,1,2,1,1.5544
19850575,27,9,"white","female","catholic","20s","No HS",5,2,3,0,1.0363
19850576,41,12,"white","male","protestant","40s","HS",0,1,2,2,1.0363
19850577,71,10,"white","female","protestant","60+","No HS",3,2,3,5,1.0363
19850578,70,12,"white","female","protestant","60+","HS",5,2,3,6,0.5181
19850579,28,12,"white","female","protestant","20s","HS",3,2,1,2,0.5181
19850580,33,12,"white","female","protestant","30s","HS",3,2,1,0,0.5181
19850581,37,9,"black","male","protestant","30s","No HS",3,3,1,0,1.0363
19850582,29,13,"black","female","protestant","20s","Some College",2,2,2,2,1.5544
19850583,47,9,"black","male","protestant","40s","No HS",0,1,1,1,1.5544
19850584,27,12,"hispanic","female","protestant","20s","HS",5,2,1,3,1.0363
19850585,26,12,"white","female","catholic","20s","HS",5,2,2,3,0.5181
19850586,26,9,"white","male","protestant","20s","No HS",4,2,2,4,1.5544
19850587,30,18,"black","male","catholic","30s","Post Graduate",4,2,2,1,0.5181
19850588,24,16,"white","male","protestant","20s","College",6,2,2,6,1.0363
19850589,44,12,"white","male","protestant","40s","HS",4,2,3,1,1.0363
19850590,53,16,"white","female","none","50s","College",6,2,2,6,1.0363
19850591,22,12,"white","male","none","20s","HS",2,2,2,5,1.5544
19850592,42,12,"white","male","catholic","40s","HS",3,1,1,3,1.0363
19850593,46,13,"white","female","protestant","40s","Some College",5,1,1,3,1.0363
19850594,20,11,"white","male","protestant","20s","No HS",5,1,1,3,1.5544
19850595,27,13,"white","female","protestant","20s","Some College",5,1,2,5,1.0363
19850596,36,14,"white","male","catholic","30s","Some College",3,1,3,5,1.0363
19850597,36,14,"white","female","protestant","30s","Some College",3,2,1,5,0.5181
19850598,19,11,"white","male","protestant","20s","No HS",2,2,3,5,1.0363
19850599,34,16,"white","female","protestant","30s","College",3,2,2,6,1.0363
19850600,20,12,"white","female","catholic","20s","HS",3,2,1,5,2.0725
19850601,20,13,"white","female","catholic","20s","Some College",5,2,1,2,2.0725
19850602,59,9,"white","male","protestant","50s","No HS",1,1,3,0,1.0363
19850603,29,12,"white","male","protestant","20s","HS",2,1,1,5,1.0363
19850604,31,12,"white","male","protestant","30s","HS",5,2,2,6,1.0363
19850605,82,8,"white","female","protestant","60+","No HS",3,1,3,3,0.5181
19850606,74,8,"white","female","catholic","60+","No HS",4,2,2,0,0.5181
19850607,68,8,"white","female","protestant","60+","No HS",4,2,3,3,0.5181
19850608,85,10,"white","female","catholic","60+","No HS",1,2,3,0,0.5181
19850609,61,12,"hispanic","female","protestant","60+","HS",2,2,3,6,0.5181
19850610,57,12,"white","female","protestant","50s","HS",4,2,1,5,0.5181
19850611,30,18,"white","female","protestant","30s","Post Graduate",3,1,1,6,1.0363
19850612,38,12,"white","female","catholic","30s","HS",3,2,1,0,1.0363
19850613,36,20,"white","male","protestant","30s","Post Graduate",2,2,2,3,0.5181
19850614,30,10,"white","female","catholic","30s","No HS",4,2,3,2,0.5181
19850615,32,14,"black","female","protestant","30s","Some College",1,3,4,2,1.0363
19850616,54,5,"hispanic","female","protestant","50s","No HS",3,2,3,3,2.5907
19850617,46,14,"white","male","catholic","40s","Some College",1,2,1,3,1.0363
19850618,40,12,"white","male","catholic","40s","HS",1,2,4,5,1.0363
19850619,22,14,"white","male","protestant","20s","Some College",4,1,1,1,1.5544
19850620,63,15,"white","female","protestant","60+","Some College",3,2,2,5,1.5544
19850621,72,15,"white","female","catholic","60+","Some College",1,2,1,6,0.5181
19850622,64,8,"white","male","protestant","60+","No HS",1,3,2,6,1.0363
19850623,29,12,"white","male","protestant","20s","HS",2,2,2,4,1.0363
19850624,64,11,"white","female","catholic","60+","No HS",2,1,4,1,0.5181
19850625,65,10,"white","female","protestant","60+","No HS",1,1,2,1,1.0363
19850626,76,8,"white","male","catholic","60+","No HS",0,2,3,2,0.5181
19850627,29,14,"white","female","protestant","20s","Some College",2,1,1,3,1.0363
19850628,25,13,"white","male","catholic","20s","Some College",6,1,1,1,1.5544
19850629,31,9,"white","male","none","30s","No HS",1,2,2,3,1.0363
19850630,19,11,"white","female","none","20s","No HS",1,2,3,3,0.5181
19850631,55,12,"white","female","catholic","50s","HS",2,1,1,1,1.0363
19850632,45,12,"white","female","protestant","40s","HS",3,3,2,1,0.5181
19850633,32,11,"white","male","protestant","30s","No HS",0,2,2,1,1.0363
19850634,33,12,"white","female","protestant","30s","HS",1,2,2,0,1.0363
19850635,59,10,"black","female","protestant","50s","No HS",0,2,2,0,0.5181
19850636,84,10,"white","female","protestant","60+","No HS",0,2,4,1,0.5181
19850637,65,10,"white","male","catholic","60+","No HS",1,3,2,0,0.5181
19850638,58,8,"white","female","catholic","50s","No HS",0,3,2,0,0.5181
19850639,51,12,"white","male","protestant","50s","HS",3,1,4,5,1.5544
19850640,68,12,"white","female","protestant","60+","HS",0,1,2,6,1.0363
19850641,40,12,"black","female","catholic","40s","HS",1,2,2,1,0.5181
19850642,46,13,"white","female","none","40s","Some College",2,2,2,1,0.5181
19850643,24,12,"white","female","none","20s","HS",1,2,1,5,1.0363
19850644,26,14,"white","female","catholic","20s","Some College",1,1,1,0,2.0725
19850645,51,12,"white","male","catholic","50s","HS",5,2,1,0,1.0363
19850646,55,12,"white","female","catholic","50s","HS",2,2,3,1,1.5544
19850647,44,12,"white","female","catholic","40s","HS",1,2,2,1,1.0363
19850648,34,13,"white","female","protestant","30s","Some College",3,2,2,0,1.0363
19850649,58,10,"white","male","protestant","50s","No HS",1,3,3,1,2.0725
19850650,76,5,"black","female","protestant","60+","No HS",0,1,4,0,0.5181
19850651,51,11,"black","female","protestant","50s","No HS",3,3,1,2,2.0725
19850652,76,7,"hispanic","female","catholic","60+","No HS",0,2,3,2,1.0363
19850653,71,2,"black","male","protestant","60+","No HS",1,2,3,0,1.5544
19850654,32,12,"black","male","protestant","30s","HS",0,2,1,0,1.0363
19850655,56,2,"black","male","protestant","50s","No HS",0,2,2,1,1.0363
19850656,65,12,"white","male","catholic","60+","HS",1,2,1,1,1.0363
19850657,32,14,"white","male","protestant","30s","Some College",4,2,2,4,1.0363
19850658,40,12,"white","female","protestant","40s","HS",0,2,2,5,0.5181
19850659,43,14,"white","male","catholic","40s","Some College",2,3,2,1,0.5181
19850660,34,20,"white","male","protestant","30s","Post Graduate",4,2,1,6,0.5181
19850661,66,8,"white","female","protestant","60+","No HS",5,2,3,0,1.0363
19850662,73,9,"white","male","protestant","60+","No HS",2,1,2,3,1.0363
19850663,29,16,"white","female","protestant","20s","College",2,1,1,3,1.0363
19850664,46,16,"white","female","catholic","40s","College",4,2,2,1,1.0363
19850665,73,12,"white","female","protestant","60+","HS",0,2,4,0,1.0363
19850666,80,7,"white","female","protestant","60+","No HS",2,1,2,6,0.5181
19850667,69,8,"white","male","protestant","60+","No HS",1,3,3,0,0.5181
19850668,32,16,"white","female","catholic","30s","College",1,2,2,1,0.5181
19850669,39,12,"white","female","protestant","30s","HS",5,2,2,4,1.0363
19850670,41,13,"white","female","catholic","40s","Some College",4,2,2,1,1.5544
19850671,27,17,"white","male","protestant","20s","Post Graduate",5,2,3,0,1.5544
19850672,21,11,"black","female","protestant","20s","No HS",3,2,1,3,0.5181
19850673,30,16,"white","female","protestant","30s","College",5,1,1,6,1.0363
19850674,32,13,"black","female","protestant","30s","Some College",4,3,2,1,1.0363
19850675,48,12,"white","male","catholic","40s","HS",1,3,2,1,0.5181
19850676,32,16,"white","male","protestant","30s","College",5,2,2,0,1.0363
19850677,66,6,"white","male","protestant","60+","No HS",0,2,3,6,1.0363
19850678,49,8,"white","male","protestant","40s","No HS",1,1,2,1,1.5544
19850679,21,14,"black","male","protestant","20s","Some College",4,1,1,1,1.0363
19850680,26,10,"black","female","protestant","20s","No HS",0,2,2,3,0.5181
19850681,30,13,"black","female","other","30s","Some College",3,1,2,0,0.5181
19850682,62,9,"black","female","protestant","60+","No HS",0,2,3,1,0.5181
19850683,20,12,"white","female","protestant","20s","HS",5,1,2,4,0.5181
19850684,31,13,"white","male","protestant","30s","Some College",3,2,2,4,1.0363
19850685,27,12,"white","female","protestant","20s","HS",3,2,1,6,1.0363
19850686,28,14,"white","female","protestant","20s","Some College",6,1,1,4,1.0363
19850687,27,12,"white","female","protestant","20s","HS",3,2,3,5,1.0363
19850688,26,13,"white","male","protestant","20s","Some College",3,1,2,4,1.0363
19850689,34,12,"white","female","protestant","30s","HS",4,2,3,1,1.0363
19850690,82,9,"white","female","protestant","60+","No HS",1,2,4,0,0.5181
19850691,81,8,"white","female","protestant","60+","No HS",1,1,1,5,0.5181
19850692,24,12,"black","male","protestant","20s","HS",0,2,2,1,1.5544
19850693,24,12,"white","male","protestant","20s","HS",3,2,2,1,1.0363
19850694,20,12,"white","female","protestant","20s","HS",1,2,1,1,1.5544
19850695,22,8,"white","female","protestant","20s","No HS",4,2,1,5,1.0363
19850696,50,14,"white","male","protestant","50s","Some College",4,2,3,2,1.0363
19850697,59,6,"black","male","protestant","50s","No HS",3,1,2,2,1.0363
19850698,63,9,"black","female","protestant","60+","No HS",2,2,2,0,0.5181
19850699,62,9,"black","male","protestant","60+","No HS",5,3,3,0,0.5181
19850700,47,12,"black","female","protestant","40s","HS",1,2,2,0,1.5544
19850701,42,12,"white","male","protestant","40s","HS",0,2,2,4,0.5181
19850702,64,3,"white","female","protestant","60+","No HS",4,3,4,0,0.5181
19850703,51,14,"white","female","protestant","50s","Some College",2,2,2,3,0.5181
19850704,51,3,"white","male","protestant","50s","No HS",1,2,3,0,0.5181
19850705,20,12,"black","female","protestant","20s","HS",3,1,1,4,1.0363
19850706,21,14,"white","male","protestant","20s","Some College",5,2,1,6,1.0363
19850707,27,12,"white","male","protestant","20s","HS",4,2,1,6,1.0363
19850708,46,14,"hispanic","female","catholic","40s","Some College",5,2,2,1,1.0363
19850709,28,11,"white","male","none","20s","No HS",3,3,3,3,1.0363
19850710,25,14,"white","female","catholic","20s","Some College",5,2,1,1,1.0363
19850711,25,15,"white","female","protestant","20s","Some College",4,1,2,5,1.0363
19850712,25,9,"white","female","protestant","20s","No HS",5,2,2,4,1.0363
19850713,62,6,"black","female","protestant","60+","No HS",0,2,2,1,0.5181
19850714,31,8,"black","female","protestant","30s","No HS",2,3,2,1,1.0363
19850715,75,12,"white","female","protestant","60+","HS",0,2,2,1,0.5181
19850716,21,12,"white","male","catholic","20s","HS",4,2,1,2,0.5181
19850717,30,14,"black","female","protestant","30s","Some College",3,3,1,1,0.5181
19850718,31,19,"black","female","protestant","30s","Post Graduate",5,2,2,0,1.0363
19850719,33,10,"black","female","protestant","30s","No HS",3,2,2,0,0.5181
19850720,27,12,"white","female","protestant","20s","HS",2,1,2,4,1.0363
19850721,29,12,"white","male","protestant","20s","HS",4,2,2,6,1.0363
19850722,22,15,"white","male","protestant","20s","Some College",5,2,1,6,0.5181
19850723,78,9,"white","female","protestant","60+","No HS",1,2,2,6,0.5181
19850724,53,6,"black","female","protestant","50s","No HS",0,2,3,2,1.5544
19850725,63,9,"black","female","protestant","60+","No HS",0,2,4,0,1.0363
19850726,63,2,"black","male","protestant","60+","No HS",5,1,4,0,1.0363
19850727,66,12,"black","female","protestant","60+","HS",6,1,2,0,1.0363
19850728,56,12,"black","female","protestant","50s","HS",2,3,3,0,2.0725
19850729,70,12,"white","female","protestant","60+","HS",4,2,2,3,1.0363
19850730,52,12,"white","male","protestant","50s","HS",3,2,1,1,1.0363
19850731,57,13,"white","male","protestant","50s","Some College",3,2,2,1,1.5544
19850732,51,15,"black","male","protestant","50s","Some College",3,1,1,0,1.0363
19850733,81,10,"white","female","protestant","60+","No HS",1,2,3,1,1.0363
19850734,78,4,"black","female","protestant","60+","No HS",2,1,3,0,0.5181
19850735,60,6,"black","female",NA,"60+","No HS",0,NA,NA,3,1.0363
19850736,51,6,"black","male","protestant","50s","No HS",2,2,2,0,0.5181
19850737,66,3,"black","female","protestant","60+","No HS",0,2,3,0,0.5181
19850738,40,13,"black","male","protestant","40s","Some College",0,3,2,1,1.0363
19850739,25,12,"black","male","protestant","20s","HS",5,3,1,0,1.0363
19850740,46,19,"black","female","protestant","40s","Post Graduate",4,2,3,0,1.0363
19850741,56,13,"black","female",NA,"50s","Some College",0,NA,NA,0,1.0363
19850742,64,11,"black","female","protestant","60+","No HS",2,3,2,0,1.0363
19850743,51,10,"black","male","protestant","50s","No HS",2,1,1,0,1.5544
19850744,32,11,"black","female","protestant","30s","No HS",3,2,3,1,1.0363
19850745,29,11,"black","female","protestant","20s","No HS",1,2,3,1,0.5181
19850746,29,19,"hispanic","male","catholic","20s","Post Graduate",5,1,1,6,1.0363
19850747,61,12,"white","female","catholic","60+","HS",4,2,2,6,1.0363
19850748,74,16,"white","female","protestant","60+","College",1,2,3,6,0.5181
19850749,26,18,"hispanic","female","catholic","20s","Post Graduate",2,2,2,4,1.0363
19850750,54,11,"white","male","protestant","50s","No HS",2,3,4,1,1.5544
19850751,28,16,"white","female","protestant","20s","College",3,3,1,6,1.0363
19850752,58,6,"hispanic","male","catholic","50s","No HS",3,1,1,0,1.0363
19850753,35,14,"white","female","protestant","30s","Some College",5,2,2,1,1.0363
19850754,50,15,"white","male","protestant","50s","Some College",1,2,2,5,1.0363
