"ids" "location" "degree" "location1" "location2" "location3"
665 "suburbs" 1 "suburbs" NA NA
666 "suburbs" 3 "suburbs" "suburbs" "suburbs"
667 "suburbs" 1 "suburbs" NA NA
668 "suburbs" 6 "suburbs" "suburbs" "suburbs"
669 "suburbs" 4 "suburbs" "suburbs" "suburbs"
670 "suburbs" 4 "city" "city" "suburbs"
671 "suburbs" 7 "suburbs" "suburbs" "suburbs"
672 "suburbs" 2 "city" "suburbs" NA
673 "suburbs" 3 "suburbs" "city" "suburbs"
674 "suburbs" 2 "city" "suburbs" NA
675 "suburbs" 2 "city" "suburbs" NA
676 "suburbs" 3 "suburbs" "city" "city"
677 "suburbs" 2 "suburbs" "suburbs" NA
678 "suburbs" 1 "suburbs" NA NA
679 "suburbs" 2 "suburbs" "suburbs" NA
680 "suburbs" 1 "suburbs" NA NA
681 "suburbs" 3 "suburbs" "suburbs" "suburbs"
682 "suburbs" 5 "city" "suburbs" "suburbs"
683 "suburbs" 4 "city" "suburbs" "suburbs"
684 "suburbs" 5 "suburbs" "suburbs" "suburbs"
685 "suburbs" 6 "suburbs" "city" "suburbs"
686 "suburbs" 3 "suburbs" "city" "city"
687 "suburbs" 7 "suburbs" "suburbs" "suburbs"
688 "suburbs" 4 "suburbs" "suburbs" "city"
689 "suburbs" 2 "suburbs" "suburbs" NA
690 "suburbs" 5 "suburbs" "city" "suburbs"
691 "suburbs" 2 "suburbs" "suburbs" NA
692 "suburbs" 5 "suburbs" "suburbs" "suburbs"
693 "suburbs" 4 "suburbs" "suburbs" "city"
694 "suburbs" 1 "suburbs" NA NA
695 "suburbs" 2 "suburbs" "suburbs" NA
696 "suburbs" 3 "city" "city" "suburbs"
697 "suburbs" 4 "suburbs" "suburbs" "suburbs"
698 "suburbs" 3 "suburbs" "suburbs" "city"
699 "suburbs" 2 "suburbs" "city" NA
700 "suburbs" 2 "city" "city" NA
701 "suburbs" 3 "city" "suburbs" "suburbs"
702 "suburbs" 1 "city" NA NA
703 "suburbs" 3 "suburbs" "city" "suburbs"
704 "suburbs" 1 "city" NA NA
705 "suburbs" 6 "suburbs" "city" "suburbs"
706 "suburbs" 4 "suburbs" "suburbs" "city"
707 "suburbs" 4 "suburbs" "suburbs" "suburbs"
708 "suburbs" 1 "city" NA NA
709 "suburbs" 6 "suburbs" "suburbs" "suburbs"
710 "suburbs" 5 "suburbs" "suburbs" "suburbs"
711 "suburbs" 2 "suburbs" "suburbs" NA
712 "suburbs" 4 "suburbs" "suburbs" "suburbs"
713 "suburbs" 2 "suburbs" "suburbs" NA
714 "suburbs" 3 "city" "city" "city"
715 "suburbs" 2 "suburbs" "suburbs" NA
716 "suburbs" 4 "city" "suburbs" "suburbs"
717 "suburbs" 4 "suburbs" "suburbs" "suburbs"
718 "suburbs" 3 "suburbs" "suburbs" "suburbs"
719 "suburbs" 4 "suburbs" "suburbs" "suburbs"
720 "suburbs" 2 "suburbs" "suburbs" NA
721 "suburbs" 3 "suburbs" "suburbs" "suburbs"
722 "suburbs" 2 "suburbs" "suburbs" NA
723 "suburbs" 2 "suburbs" "city" NA
724 "suburbs" 1 "city" NA NA
725 "suburbs" 4 "suburbs" "city" "suburbs"
726 "suburbs" 3 "suburbs" "suburbs" "suburbs"
727 "suburbs" 4 "city" "city" "suburbs"
728 "suburbs" 1 "city" NA NA
729 "suburbs" 3 "city" "suburbs" "suburbs"
730 "suburbs" 4 "suburbs" "suburbs" "suburbs"
731 "suburbs" 4 "suburbs" "suburbs" "suburbs"
732 "suburbs" 2 "suburbs" "suburbs" NA
733 "suburbs" 5 "suburbs" "suburbs" "city"
734 "suburbs" 2 "suburbs" "city" NA
735 "suburbs" 3 "suburbs" "suburbs" "suburbs"
736 "suburbs" 5 "suburbs" "suburbs" "suburbs"
737 "suburbs" 3 "city" "city" "suburbs"
738 "suburbs" 1 "suburbs" NA NA
739 "suburbs" 1 "city" NA NA
740 "suburbs" 3 "suburbs" "suburbs" "suburbs"
741 "suburbs" 1 "city" NA NA
742 "suburbs" 4 "city" "suburbs" "suburbs"
743 "suburbs" 3 "suburbs" "city" "suburbs"
744 "suburbs" 2 "suburbs" "suburbs" NA
745 "suburbs" 1 "suburbs" NA NA
746 "suburbs" 2 "suburbs" "suburbs" NA
747 "suburbs" 3 "suburbs" "suburbs" "suburbs"
748 "suburbs" 2 "city" "suburbs" NA
749 "suburbs" 2 "suburbs" "suburbs" NA
750 "suburbs" 3 "city" "suburbs" "city"
